New URI	persName ektobe-headword.Source 1.fr	relation possibly-identical	relation syriaca---differentFrom	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	Source 2	citedRange fol.Source 2	Source 3	Source 4	citedRange pp.Source 4	person ana		
*** Syriaca ID	Noms 	Possibly Identical?								extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)								Rôles	Remarks for SYRIACA
3563	Peṭros bar Tawma Katula (19 s.)									19 s.	19 s.		1750	1750	1950	1950	ܦܛܪܘܣ ܒܪ ܬܐܘܡܐ ܟܬܘܠܐ	ܦܛܪܘܣ ܒܪ ܬܐܘܡܐ ܟܬܘܠܐ									2499						#syriaca-author 	Auteur	
3564	Pierre Al-Djamīl, surnommé Sévère, évêque copte de Malig																										2499						#syriaca-author 	Auteur	
3565	Prochore																										2499						#syriaca-author 	Auteur	
3566	Pseudo-Prochore																										2499						#syriaca-author 	Auteur	
3567	Pseudo-Nonnos																										2499						#syriaca-author 	Auteur	
3568	Raymond Lulle (1232-1315)			1315	1315			1232	1232	1232-1315							ܪܐܝܡܘܢܕܘܤ	ܪܐܝܡܘܢܕܘܤ									2499						#syriaca-author 	Auteur	
3569	Rizqallah																ܪܙܩܠܠܗ	ܪܙܩܠܠܗ									2499						#syriaca-author 	Auteur	
3570	Sa'id ibn Baṭriq (10 s.)									10 s.	10 s.		850	0850	1050	1050	Eutychius ܣܥܝܕ ܐܒܢܒܛܪܝܩ	ܣܥܝܕ ܐܒܢܒܛܪܝܩ		Eutychius							2499	Paris, Bibliothèque nationale de France, syr. 204		http://www.msscatalog.org/63627			#syriaca-author 	Auteur	cf. Paris BnF syr. 204
3571	Salomon (roi)																ܣܠܝܡܐܢ	ܣܠܝܡܐܢ									2499						#syriaca-author 	Attribué à	Same pseudo-author as the author of Odes of Salomon, Psalms, Testament…
3572	Samuel, disciple de Barṣaumo (5-6 s.)	http://syriaca.org/person/29								5-6 s.	5-6 s.		350	0350	650	0650	ܫܡܘܐܝܠ 	ܫܡܘܐܝܠ 									2499	London, British Library, Add. 12174		http://syriaca.org/manuscript/70	http://www.msscatalog.org/62402		#syriaca-author 	Attribué à	cf. Add. 12174
3573	Sargis d'Amphiator																ܣܪܓܝܣ, ܐܡܦܝܐܛܘܪ, Serge 	ܣܪܓܝܣ	ܐܡܦܝܐܛܘܪ	Serge							2499						#syriaca-author 	auteur	
3574	Sarkis 																Serge   ܣܪܟܝܣ	ܣܪܟܝܣ		Serge							2499						#syriaca-author 	traducteur	
3575	Serge Pierre (16 s.)	http://syriaca.org/person/1082								16 s.	16 s.		1450	1450	1650	1650	Patriarche maronite d'Antioche ܣܪܓܝܣ	ܣܪܓܝܣ			Patriarche maronite d'Antioche						2499						#syriaca-author 	Auteur	
3576	Sévère d'Aschmounaïn 																										2499						#syriaca-author 	Auteur 	
3577	Sim'an ibn Khalil ibn Maqara (12 s.) 									12 s.	12 s.		1050	1050	1250	1250											2499						#syriaca-author 	Auteur	
3578	Stéphani Aldoensis 																										2499						#syriaca-author 	Auteur	
3579	Théophile																ܬܐܸܘܿܦܝܼܠ݃ܐ	ܬܐܸܘܿܦܝܼܠ݃ܐ									2499						#syriaca-author 	Auteur	
3580	Thomaïs de Nisibe (4 s. ?)	http://syriaca.org/person/5								4 s. ?	4 s. ?		250	0250	450	0450	Supérieure de couvent Biographe de Fébronia				Supérieure de couvent		Biographe de Fébronia				2499	Damascus, Syrian Orthodox Patriarchate, 12/18		http://www.msscatalog.org/62094			#syriaca-author 	Attribué à	Cf. Damas 12/18
3581	Thomas 																ܬܐܡܐ	ܬܐܡܐ									2499	Paris, Bibliothèque nationale de France, syr. 195		http://www.msscatalog.org/63347			#syriaca-author 	Auteur	cf. Paris BnF syr. 195
3582	Thomas a Kempis (14-15 s.)									14-15 s.	14-15 s.		1250	1250	1550	1550	ܬܘܡܐ ܕܟܡܒܝܣ	ܬܘܡܐ ܕܟܡܒܝܣ									2499						#syriaca-author 	Auteur	
3583	Thomas de Kfartab 																										2499	Paris, Bibliothèque nationale de France, syr. 225		http://www.msscatalog.org/63850			#syriaca-author 	Auteur	cf. Paris BnF syr. 225
3584	Timothée de Birtha 	http://syriaca.org/person/981															ܛܝܡܘܬܐܣ Jean de Birtha 	ܛܝܡܘܬܐܣ 		Jean de Birtha							2499	Paris, Bibliothèque nationale de France, syr. 177					#syriaca-author 	Auteur / attribué à	cf. Paris BnF syr. 177
3585	Ṭimotheos Isḥaq bar ‛Bed Ḥayyo (1643-1721)			1643	1643			1721	1721	1643-1721							ܛܝܡܬܐܘܣ ܡܦܪܝܢܐ ܕܗܘ ܐܝܣܚܩ  Maphrien Timothée 	ܛܝܡܬܐܘܣ ܡܦܪܝܢܐ ܕܗܘ ܐܝܣܚܩ  		Maphrien Timothée	Maphrien						2499				642	28-29	#syriaca-author 	Auteur	Indentifié par MF, cf. Rudolf Macuch, Geschichte der spät- und neusyrischen Literatur, Berlin, De Gryuter 1976: 28-29
3586	Tyrius 	http://syriaca.org/person/868															ܛܘܪܝܘܣ	ܛܘܪܝܘܣ									2499						#syriaca-author 	Auteur	
3587	Ya'qub (19 s.)									19 s.	19 s.		1750	1750	1950	1950	ܝܥܩܘܒ	ܝܥܩܘܒ									2499						#syriaca-author 	Auteur	
3588	Yawsep (18 s.)									18 s.	18 s.		1650	1650	1850	1850	Joseph, Patriarche maronite d'Antioche, ܝܘܣܦ	ܝܘܣܦ		Joseph, Patriarche maronite d'Antioche	Patriarche maronite d'Antioche						2499						#syriaca-author 	Auteur	
3589	Yawsep (avant 17 s.)									avant 17 s.	avant 17 s.				1700	1700	évêque Joseph  ܝܘܣܦ	ܝܘܣܦ		évêque Joseph	évêque						2499	Paris, Bibliothèque nationale de France, syr. 371		http://www.msscatalog.org/64514			#syriaca-author 	Auteur	cf. Paris BnF syr. 371
3590	Yawsep (fin 17 s.)									fin 17 s.	fin 17 s.		1625	1625	1725	1725	Joseph  ܝܘܣܦ	ܝܘܣܦ		Joseph							2499						#syriaca-author 	Auteur /lecteur	
3591	Yawsep Peṭros (18 s.)									18 s.	18 s.		1650	1650	1850	1850	Patriarche d'Antioche, Joseph, ܝܘܣܦ	ܝܘܣܦ		Patriarche d'Antioche, Joseph	Patriarche d'Antioche						2499						#syriaca-author 	Auteur	
3592	Yazdin le Grand	http://syriaca.org/person/1520															ܝܙܕܝܢ	ܝܙܕܝܢ									2499						#syriaca-author 	Auteur	
3593	Yuḥanna al-Zurbabi de Damas (17 s.)									17 s.	17 s.		1550	1550	1750	1750	ܝܘܚܢܐ ܐܠܙܪܒܐܒܝ	ܝܘܚܢܐ ܐܠܙܪܒܐܒܝ									2499						#syriaca-author 	Auteur / Copiste	
3594	Yuḥanon (après 12 s.)									après 12 s.	après 12 s.		1050	1050			ܝܘܚܢܢ  Jean	ܝܘܚܢܢ  		Jean							2499						#syriaca-author 	Auteur /lecteur	
3595	Yussif Abu al-Karam																ܝܘܣܦJoseph 	ܝܘܣܦ		Joseph							2499	Paris, Bibliothèque nationale de France, syr. 403		http://www.msscatalog.org/64836			#syriaca-author 	Auteur 	cf. Paris BnF syr. 403
3596	Symmaque	http://syriaca.org/person/761 http://syriaca.org/person/842																									2499	Damascus, Syrian Orthodox Patriarchate, 12/17	69-70	http://www.msscatalog.org/62048			#syriaca-author 	Auteur	Cf. Damas 12/17 f. 69-70 Author of the life of Abel
