term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Civil law		new		civil-law														http://syriaca.org/keyword/administration																				http://syriaca.org/keyword/law																								
Civil servants		SPEAR	civil servants	civil-servants	http://id.loc.gov/authorities/subjects/sh85026387			bureaucrats	government service	public service								http://syriaca.org/keyword/administration																																												
Classical		CBSC	classical	classical																																																			http://syriaca.org/keyword/time				x	CBSC usage?		
Classical Syriac		CBSC	Classical Syriac	classical-syriac			ISO 639-2: syc																														http://syriaca.org/keyword/languages																						x	Is this inconsistent with our preference for "syr"		
Clergy		CBSC	clergy	clergy	http://id.loc.gov/authorities/subjects/sh85026944			clerics	pastors	clergymen	ministers																						http://syriaca.org/keyword/institutions												http://syriaca.org/keyword/occupations				http://syriaca.org/keyword/religion													
Codicology		CBSC	codicology	codicology	http://id.loc.gov/authorities/subjects/sh97008489			manuscriptology																					http://syriaca.org/keyword/fields-of-study																													http://syriaca.org/keyword/writing				
Coenobites		CBSC	coenobites	coenobites	http://id.loc.gov/authorities/subjects/sh2010012446			cenobites													http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations																	
Coins		CBSC	coins	coins	http://id.loc.gov/authorities/subjects/sh85027797																			http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Colophons		CBSC	colophons	colophons	http://id.loc.gov/authorities/subjects/sh85028575			colophons of manuscripts																																http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Colours		CBSC	colours	colours	http://id.loc.gov/authorities/subjects/sh85028700			colors																																				http://syriaca.org/keyword/objects																		
Comes		SPEAR	comes	comes														http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Commandments		CBSC	commandments	commandments																																		http://syriaca.org/keyword/law											http://syriaca.org/keyword/religion										x	Ten Commandments? Clarify CBSC usage?		
Commemoration		CBSC	commemoration	commemoration	http://id.loc.gov/authorities/subjects/sh85116632																																														http://syriaca.org/keyword/sanctity											
Commentary		CBSC	commentary	commentary	http://id.loc.gov/authorities/subjects/sh99001957			commentaries																																http://syriaca.org/keyword/literature																						
Comparative		CBSC	comparative	comparative																														http://syriaca.org/keyword/intertextuality						http://syriaca.org/keyword/literature																						
Computing		CBSC	computing	computing	http://id.loc.gov/authorities/subjects/sh85042288			use of computers																					http://syriaca.org/keyword/fields-of-study																																	
Concordance		CBSC	concordance	concordance	http://id.loc.gov/authorities/subjects/sh85030642			word indexes	word indices																						http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Confession		CBSC	confession	confession	http://id.loc.gov/authorities/subjects/sh85030904																																												http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts						x	this is for the sacrament of confession - not a statement of belief		
Confessors		SPEAR	confessors	confessors																	http://syriaca.org/keyword/christianity																									http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion		http://syriaca.org/keyword/sanctity											
Confirmation		CBSC	confirmation	confirmation	http://id.loc.gov/authorities/subjects/sh85030947																http://syriaca.org/keyword/christianity				http://syriaca.org/keyword/education																																					
Contractors		new		contractors										redemptores			Used of people who enter into a contract to perform a job or task.																												http://syriaca.org/keyword/occupations																	
Conversion		CBSC	conversion	conversion	http://id.loc.gov/authorities/subjects/sh85031702			religious conversion																																									http://syriaca.org/keyword/religion													
Cooks		new		cooks				chefs	food preparers					cocus																															http://syriaca.org/keyword/occupations																	
Coptic language		new		coptic-language			ISO 639-2: cop																																																							
Copts		CBSC	Copts	copts	http://id.loc.gov/authorities/subjects/sh85032431			Egyptian Christians																			http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Cosmogony		CBSC	cosmogony	cosmogony	http://id.loc.gov/authorities/subjects/sh85033158																								http://syriaca.org/keyword/fields-of-study																																	
Cosmology		CBSC	cosmology	cosmology	http://id.loc.gov/authorities/subjects/sh85033169																								http://syriaca.org/keyword/fields-of-study																																	
Council of 420		CBSC	Council of 420	council-of-420																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of 424		CBSC	Council of 424	council-of-424																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Antioch (340-341)		CBSC	council of Antioch (340-341)	council-of-antioch-340-341																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Chalcedon (451)		CBSC	Chalcedon	council-of-chalcedon-451	http://id.loc.gov/authorities/names/n79100865																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Constantinople I (381)		CBSC	Council of Constantinople I (381)	council-of-constantinople-i-381	http://id.loc.gov/authorities/names/n82249995																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Constantinople II (553)		CBSC	Council of Constantinople II (553)	council-of-constantinople-ii-553	http://id.loc.gov/authorities/names/n84091972																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Ephesus I (431)		CBSC	council of Ephesus I (431)	council-of-ephesus-i-431	http://id.loc.gov/authorities/names/n81059846																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Ephesus II (449)		CBSC	council of Ephesus II (449)	council-of-ephesus-ii-449	http://id.loc.gov/authorities/names/n83222533			Robber Synod													http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Gangra		CBSC	Council of Gangra	council-of-gangra																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Ishoyahb I (585-586)		CBSC	Council of Ishoyahb I (585-586)	council-of-ishoyahb-i-585-586																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Mar Isaac (410)		CBSC	Council of Mar Isaac (410)	council-of-mar-isaac-410																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Council of Nicaea (325)		CBSC	Nicaea	council-of-nicaea-325	http://id.loc.gov/authorities/names/n82074285																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places												x	"325 Council of Nicea"; should Nicene Creed be a different subject (some bibl. entries not really about 325 council, but just creeds in general)? - TAC LOC for the creed: http://id.loc.gov/authorities/names/n82069735		
Council of Seleucia-Ctesiphon		CBSC	council of Seleucia-Ctesiphon	council-of-seleucia-ctesiphon																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Councils		CBSC	councils	councils	http://id.loc.gov/authorities/subjects/sh85033409			synods	clergy conferences	episcopal conferences	church conferences							http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																			http://syriaca.org/keyword/places															
Countryside		CBSC	countryside	countryside																																											http://syriaca.org/keyword/places												x	What is the difference between "chora" and "countryside" in CBSC?		
Covenants		CBSC	covenant	covenants	http://id.loc.gov/authorities/subjects/sh85033614																																												http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Creation		CBSC	creation	creation	http://id.loc.gov/authorities/subjects/sh85033823																							http://syriaca.org/keyword/events																																		
Creeds		CBSC	creed	creeds	http://id.loc.gov/authorities/subjects/sh85033885			creed	confessions of faith	confession of faith											http://syriaca.org/keyword/christianity																			http://syriaca.org/keyword/literature	http://syriaca.org/keyword/liturgy								http://syriaca.org/keyword/religion													
Criers		new		criers				public speakers						praecones																															http://syriaca.org/keyword/occupations																	
Cross		CBSC	cross	cross	http://id.loc.gov/authorities/subjects/sh85061565																http://syriaca.org/keyword/christianity																							http://syriaca.org/keyword/objects																		
Crucifixion		CBSC	crucifixion	crucifixion	http://id.loc.gov/authorities/subjects/sh85034361																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events										http://syriaca.org/keyword/law						http://syriaca.org/keyword/objects																		
Crusaders		CBSC	Crusaders	crusaders	http://id.loc.gov/authorities/names/no2001028089																												http://syriaca.org/keyword/institutions												http://syriaca.org/keyword/occupations				http://syriaca.org/keyword/religion													
Crusades		new		crusades	http://id.loc.gov/authorities/subjects/sh85034380																																																									
Cult of saints		SPEAR	cult of saints	cult-of-saints	http://id.loc.gov/authorities/subjects/sh85116633			invocation of saints	veneration of saints	worship of saints											http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Culture	category	category		culture	http://id.loc.gov/authorities/subjects/sh85034755																																																									
Curtains		CBSC	curtain	curtains																																					http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects																		
Deacons		CBSC	deacons	deacons	http://id.loc.gov/authorities/subjects/sh85036022			diaconate										http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons																
Death		CBSC	death	death	http://id.loc.gov/authorities/subjects/sh85036085			dying																				http://syriaca.org/keyword/events																																		
Decrees		SPEAR	decree	decrees	http://id.loc.gov/authorities/subjects/sh85036560			regulations	imperial regulations	quasi-legislation	ad hoc pronouncements							http://syriaca.org/keyword/administration																																												
Dedication of church		CBSC	dedication of church	dedication-of-church	http://id.loc.gov/authorities/subjects/sh85025593			church dedication	consecration of churches	dedication of churches											http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																									http://syriaca.org/keyword/speech-acts									
